Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Wahbi Khazri,AS Saint-Étienne,30,attack,Tunisia,4050000,1,Ligue 1
Alberto Grassi,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",26,midfield,Italy,4050000,1,UNKNOWN
Opa Nguette,FC Metz,27,attack,Senegal,4050000,1,Ligue 1
Romain Del Castillo,Stade Brestois 29,25,attack,France,4050000,3,Ligue 1
M'Baye Niang,Stade Rennais FC,26,attack,Senegal,4050000,2,Ligue 1
Max Kilman,Wolverhampton Wanderers,24,Defender,England,4050000,4,Premier League
William,VfL Wolfsburg,26,Defender,Brazil,3600000,1,Bundesliga
Yordan Osorio,Parma Calcio 1913,27,Defender,Venezuela,3600000,3,Serie A
Jaime Mata,Getafe CF,32,attack,Spain,3600000,3,La Liga
Marc Albrighton,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",31,midfield,England,3600000,3,UNKNOWN
Adam Lallana,Brighton &amp; Hove Albion,33,midfield,England,3600000,2,Premier League
Admir Mehmedi,VfL Wolfsburg,30,attack,Switzerland,3600000,1,Bundesliga
Jonathan Panzo,Dijon FCO,20,Defender,England,3600000,2,Ligue 1
Augusto Solari,Celta de Vigo,29,attack,Argentina,3600000,2,La Liga
Víctor Laguardia,Deportivo Alavés,31,Defender,Spain,3600000,1,La Liga
Rubén Duarte,Deportivo Alavés,25,Defender,Spain,3600000,2,La Liga
Ronaël Pierre-Gabriel,Stade Brestois 29,23,Defender,France,3600000,1,Ligue 1
João Moutinho,Wolverhampton Wanderers,34,midfield,Portugal,3600000,1,Premier League
David Nemeth,1.FSV Mainz 05,20,Defender,Austria,3600000,3,Bundesliga
Vitolo,Getafe CF,31,attack,Spain,3600000,1,La Liga
Kristijan Jakic,Eintracht Frankfurt,24,midfield,Croatia,3600000,1,Bundesliga
Dalbert Henrique,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,Defender,Brazil,3600000,1,UNKNOWN
Silvan Widmer,1.FSV Mainz 05,28,Defender,Switzerland,3600000,3,Bundesliga
Jordan Ferri,Montpellier HSC,29,midfield,France,3600000,2,Ligue 1
Isaac Lihadji,LOSC Lille,19,attack,France,3600000,2,Ligue 1
Romano Schmid,SV Werder Bremen,21,midfield,Austria,3600000,2,Bundesliga
Niclas Füllkrug,SV Werder Bremen,28,attack,Germany,3600000,2,Bundesliga
Timo Horn,1. FC Köln,28,Goalkeeper,Germany,3600000,2,Bundesliga
Christian Oliva,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",25,midfield,Uruguay,3600000,2,UNKNOWN
Jan Thielmann,1. FC Köln,19,attack,Germany,3600000,3,Bundesliga
Andriy Yarmolenko,West Ham United,31,attack,Ukraine,3600000,1,Premier League
Sebastian Rode,Eintracht Frankfurt,30,midfield,Germany,3600000,3,Bundesliga
Manu García,Deportivo Alavés,23,midfield,Spain,3600000,1,La Liga
Franco Vázquez,Parma Calcio 1913,32,midfield,Argentina,3600000,2,Serie A
Florian Niederlechner,FC Augsburg,30,attack,Germany,3600000,1,Bundesliga
Felipe Caicedo,Genoa CFC,32,attack,Ecuador,3600000,3,Serie A
Pawel Dawidowicz,Hellas Verona,26,Defender,Poland,3600000,4,Serie A
Gianluca Lapadula,Benevento Calcio,31,attack,Peru,3600000,2,Serie A
Arkadiusz Reca,Spezia Calcio,26,Defender,Poland,3600000,1,Serie A
Ebrima Colley,Spezia Calcio,21,attack,The Gambia,3600000,1,Serie A
M'Bala Nzola,Spezia Calcio,25,attack,Angola,3600000,2,Serie A
Bouna Sarr,Bayern Munich,29,Defender,France,3600000,3,Bundesliga
Roman Bürki,Borussia Dortmund,30,Goalkeeper,Switzerland,3600000,2,Bundesliga
Moussa Koné,Nîmes Olympique,24,attack,Senegal,3600000,2,Ligue 1
Rubén Alcaraz,Real Valladolid CF,30,midfield,Spain,3600000,2,La Liga
Marius Wolf,Borussia Dortmund,26,attack,Germany,3600000,3,Bundesliga
Juan Mata,Manchester United,33,midfield,Spain,3600000,1,Premier League
Monchu,Granada CF,21,midfield,Spain,3600000,4,La Liga
Timothy Fosu-Mensah,Bayer 04 Leverkusen,23,Defender,Netherlands,3600000,3,Bundesliga
Luis Milla,Granada CF,26,midfield,Spain,3600000,3,La Liga
Carlos Neva,Granada CF,25,Defender,Spain,3600000,4,La Liga
Giacomo Bonaventura,ACF Fiorentina,32,midfield,Italy,3600000,1,Serie A
Tommaso Augello,UC Sampdoria,27,Defender,Italy,3600000,4,Serie A
Folarin Balogun,Arsenal FC,20,attack,England,3600000,4,Premier League
Lászlo Bénes,Borussia Mönchengladbach,23,midfield,Slovakia,3600000,3,Bundesliga
Marvin Plattenhardt,Hertha BSC,29,Defender,Germany,3600000,2,Bundesliga
Deyovaisio Zeefuik,Hertha BSC,23,Defender,Netherlands,3600000,fail,Bundesliga
Kevin Vogt,TSG 1899 Hoffenheim,29,Defender,Germany,3600000,1,Bundesliga
Marco John,TSG 1899 Hoffenheim,19,midfield,Germany,3600000,3,Bundesliga
Jens Jönsson,Cádiz CF,28,midfield,Denmark,3600000,1,La Liga
Timothée Kolodziejczak,AS Saint-Étienne,29,Defender,France,3600000,1,Ligue 1
Fernando Reges,Sevilla FC,34,midfield,Brazil,3600000,1,La Liga
Lucas Höler,SC Freiburg,27,attack,Germany,3600000,fail,Bundesliga
Jacob Murphy,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",26,attack,England,3600000,6,UNKNOWN
Edin Dzeko,Inter Milan,35,attack,Bosnia-Herzegovina,3600000,2,Serie A
Jaume Doménech,Valencia CF,30,Goalkeeper,Spain,3600000,2,La Liga
Jens Stryger Larsen,Udinese Calcio,30,Defender,Denmark,3600000,1,Serie A
Andrei Girotto,FC Nantes,29,Defender,Brazil,3600000,3,Ligue 1
Abdoulaye Touré,Genoa CFC,27,midfield,France,3600000,4,Serie A
Alfie Mawson,Fulham FC,27,Defender,England,3600000,1,Premier League
Charlie Taylor,Burnley FC,27,Defender,England,3600000,3,Premier League
Konrad de la Fuente,Olympique Marseille,20,attack,United States,3600000,4,Ligue 1
Jean-Eudes Aholou,RC Strasbourg Alsace,27,midfield,Cote d'Ivoire,3600000,1,Ligue 1
Denis Vavro,SS Lazio,25,Defender,Slovakia,3600000,3,Serie A
Nehuén Pérez,Udinese Calcio,21,Defender,Argentina,3600000,1,Serie A
Moussa Wagué,FC Barcelona,22,Defender,Senegal,3600000,2,La Liga
Marko Pjaca,Torino FC,26,attack,Croatia,3600000,1,Serie A
Jay Rodríguez,Burnley FC,32,attack,England,3600000,1,Premier League
Matt Phillips,West Bromwich Albion,30,attack,Scotland,3600000,3,Premier League
Nathan Ferguson,Crystal Palace,20,Defender,England,3600000,2,Premier League
Timothée Pembélé,FC Girondins Bordeaux,18,Defender,France,3600000,1,Ligue 1
Radoslaw Majecki,AS Monaco,21,Goalkeeper,Poland,3600000,3,Ligue 1
Jean Seri,Fulham FC,30,midfield,Cote d'Ivoire,3600000,1,Premier League
Zlatan Ibrahimovic,AC Milan,39,attack,Sweden,3600000,1,Serie A
Dwight Gayle,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",31,attack,England,3600000,3,UNKNOWN
Alberth Elis,FC Girondins Bordeaux,25,attack,Honduras,3600000,1,Ligue 1
Adama Soumaoro,Bologna FC 1909,29,Defender,France,3600000,3,Serie A
Joel Robles,Real Betis Balompié,31,Goalkeeper,Spain,3600000,1,La Liga
Mateusz Klich,Leeds United,31,midfield,Poland,3600000,3,Premier League
Danny Welbeck,Brighton &amp; Hove Albion,30,attack,England,3600000,1,Premier League
Stuart Dallas,Leeds United,30,Defender,Northern Ireland,3600000,3,Premier League
Olivier Giroud,AC Milan,34,attack,France,3600000,2,Serie A
Florian Krüger,Arminia Bielefeld,22,attack,Germany,3600000,4,Bundesliga
Grischa Prömel,1.FC Union Berlin,26,midfield,Germany,3600000,1,Bundesliga
Gerónimo Rulli,Villarreal CF,29,Goalkeeper,Argentina,3600000,3,La Liga
Leonardo Pavoletti,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",32,attack,Italy,3600000,3,UNKNOWN
Mohamed-Ali Cho,SCO Angers,17,attack,France,3600000,2,Ligue 1
Rubén Peña,Villarreal CF,30,Defender,Spain,3600000,3,La Liga
Nicolas Cozza,Montpellier HSC,22,Defender,France,3420000,1,Ligue 1
Nicola Sansone,Bologna FC 1909,29,attack,Italy,3420000,2,Serie A
Lukasz Skorupski,Bologna FC 1909,30,Goalkeeper,Poland,3420000,2,Serie A
Kevin Rüegg,Hellas Verona,23,Defender,Switzerland,3240000,4,Serie A
Federico Ceccherini,Hellas Verona,29,Defender,Italy,3150000,fail,Serie A
Lorenzo Montipò,Hellas Verona,25,Goalkeeper,Italy,3150000,1,Serie A
Trevoh Chalobah,Chelsea FC,22,Defender,England,3150000,2,Premier League
Ivo Grbic,LOSC Lille,25,Goalkeeper,Croatia,3150000,1,Ligue 1
Laurent Koscielny,FC Girondins Bordeaux,35,Defender,France,3150000,1,Ligue 1
Kevin Agudelo,Spezia Calcio,22,attack,Colombia,3150000,1,Serie A
Jérémy Gélin,Stade Rennais FC,24,Defender,France,3150000,1,Ligue 1
Enda Stevens,Sheffield United,31,Defender,Ireland,3150000,2,Premier League
Robson Bambu,OGC Nice,23,Defender,Brazil,3150000,4,Ligue 1
Ashley Barnes,Burnley FC,31,attack,England,3150000,1,Premier League
Bosko Sutalo,Hellas Verona,21,Defender,Croatia,3150000,1,Serie A
Lewis Baker,Chelsea FC,26,midfield,England,3150000,1,Premier League
Andrés Cubas,Nîmes Olympique,25,midfield,Paraguay,3150000,3,Ligue 1
Lamine Fomba,Nîmes Olympique,23,midfield,France,3150000,2,Ligue 1
Eric Maxim Choupo-Moting,Bayern Munich,32,attack,Cameroon,3150000,2,Bundesliga
Wuilker Fariñez,RC Lens,23,Goalkeeper,Venezuela,3150000,3,Ligue 1
Birger Meling,Stade Rennais FC,26,Defender,Norway,3150000,3,Ligue 1
Kelvin Amian,Spezia Calcio,23,Defender,France,3150000,4,Serie A
Georginio Rutter,TSG 1899 Hoffenheim,19,attack,France,3150000,4,Bundesliga
Patrick Herrmann,Borussia Mönchengladbach,30,attack,Germany,3150000,1,Bundesliga
Sada Thioub,SCO Angers,26,attack,Senegal,3150000,2,Ligue 1
Denis Cheryshev,Valencia CF,30,attack,Russia,3150000,1,La Liga
Valon Berisha,Stade Reims,28,midfield,Kosovo,3150000,3,Ligue 1
Sandro Ramírez,Getafe CF,26,attack,Spain,3150000,1,La Liga
Marcos André,Valencia CF,24,attack,Brazil,3150000,5,La Liga
Emil Krafth,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,Defender,Sweden,3150000,2,UNKNOWN
Mathias Pereira Lage,SCO Angers,24,midfield,Portugal,3150000,1,Ligue 1
Lennart Czyborra,Arminia Bielefeld,22,Defender,Germany,3150000,1,Bundesliga
Edu Expósito,SD Eibar,25,midfield,Spain,3150000,3,La Liga
Marcus Ingvartsen,1.FSV Mainz 05,25,attack,Denmark,3150000,1,Bundesliga
Etienne Green,AS Saint-Étienne,21,Goalkeeper,England,3150000,4,Ligue 1
Tymoteusz Puchacz,1.FC Union Berlin,22,Defender,Poland,3150000,4,Bundesliga
Salih Özcan,1. FC Köln,23,midfield,Germany,3150000,2,Bundesliga
Florian Kainz,1. FC Köln,28,attack,Austria,3150000,1,Bundesliga
Philipp Förster,VfB Stuttgart,26,midfield,Germany,3150000,2,Bundesliga
Dimitri Foulquier,Valencia CF,28,Defender,Guadeloupe,3150000,4,La Liga
Jean-Kevin Duverne,Stade Brestois 29,24,Defender,France,3150000,2,Ligue 1
Christophe Hérelle,Stade Brestois 29,29,Defender,Martinique,3150000,3,Ligue 1
Aymen Barkok,Eintracht Frankfurt,23,midfield,Morocco,3150000,1,Bundesliga
Pere Pons,Deportivo Alavés,28,midfield,Spain,3150000,1,La Liga
Michael Hector,Fulham FC,29,Defender,Jamaica,3150000,1,Premier League
Malick Thiaw,FC Schalke 04,20,Defender,Germany,3150000,3,Bundesliga
Ko Itakura,FC Schalke 04,24,Defender,Japan,3150000,1,Bundesliga
Oihan Sancet,Athletic Bilbao,21,midfield,Spain,3150000,3,La Liga
Sargis Adamyan,TSG 1899 Hoffenheim,28,attack,Armenia,3150000,2,Bundesliga
Mijat Gacinovic,TSG 1899 Hoffenheim,26,midfield,Serbia,3150000,3,Bundesliga
Terence Kongolo,Fulham FC,27,Defender,Netherlands,3150000,3,Premier League
Fabian Delph,Everton FC,31,midfield,England,3150000,1,Premier League
Gerzino Nyamsi,RC Strasbourg Alsace,24,Defender,France,3150000,4,Ligue 1
Youssouph Badji,Stade Brestois 29,19,attack,Senegal,3150000,1,Ligue 1
Vladimir Darida,Hertha BSC,31,midfield,Czech Republic,3150000,2,Bundesliga
Conor Hourihane,Sheffield United,30,midfield,Ireland,3150000,1,Premier League
Karim Onisiwo,1.FSV Mainz 05,29,attack,Austria,3150000,3,Bundesliga
Jorge Meré,1. FC Köln,24,Defender,Spain,3150000,2,Bundesliga
Lucas Leiva,SS Lazio,34,midfield,Brazil,3150000,1,Serie A
Mitchell Dijks,Bologna FC 1909,28,Defender,Netherlands,3150000,2,Serie A
Nicola Murru,UC Sampdoria,26,Defender,Italy,3150000,3,Serie A
Youssef Maleh,ACF Fiorentina,23,midfield,Morocco,3150000,3,Serie A
Fabio Depaoli,UC Sampdoria,24,Defender,Italy,3150000,3,Serie A
Kévin Malcuit,SSC Napoli,30,Defender,France,3150000,1,Serie A
Luigi Sepe,Parma Calcio 1913,30,Goalkeeper,Italy,3150000,3,Serie A
Vlad Chiriches,US Sassuolo,31,Defender,Romania,3150000,2,Serie A
Abdou Harroui,US Sassuolo,23,midfield,Netherlands,3150000,1,Serie A
Aleksandr Kokorin,ACF Fiorentina,30,attack,Russia,3150000,3,Serie A
Lucas Boyé,Elche CF,25,attack,Argentina,3150000,3,La Liga
Elias Cobbaut,Parma Calcio 1913,23,Defender,Belgium,3150000,1,Serie A
Jean-Daniel Akpa-Akpro,SS Lazio,28,midfield,Cote d'Ivoire,3150000,3,Serie A
Valerio Verre,UC Sampdoria,27,midfield,Italy,3150000,4,Serie A
Gastón Pereiro,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",26,midfield,Uruguay,3150000,3,UNKNOWN
Arturo Vidal,Inter Milan,34,midfield,Chile,3150000,1,Serie A
Junior Messias,AC Milan,30,midfield,Brazil,3150000,1,Serie A
Paolo Ghiglione,Genoa CFC,24,midfield,Italy,3060000,2,Serie A
Jurgen Ekkelenkamp,Hertha BSC,21,midfield,Netherlands,2880000,4,Bundesliga
Maya Yoshida,UC Sampdoria,33,Defender,Japan,2880000,1,Serie A
Enock Kwateng,FC Girondins Bordeaux,24,Defender,France,2880000,2,Ligue 1
Pedro Chirivella,FC Nantes,24,midfield,Spain,2880000,2,Ligue 1
Gonzalo Escalante,SS Lazio,28,midfield,Argentina,2880000,3,Serie A
Sebastian Rudy,TSG 1899 Hoffenheim,31,midfield,Germany,2700000,2,Bundesliga
Martin Erlic,Spezia Calcio,23,Defender,Croatia,2700000,3,Serie A
Roberto Piccoli,Atalanta BC,20,attack,Italy,2700000,fail,Serie A
Mirko Maric,FC Crotone,26,attack,Croatia,2700000,1,Serie A
Jaime Seoane,SD Huesca,24,midfield,Spain,2700000,1,La Liga
Domingos Quina,Fulham FC,21,midfield,Portugal,2700000,1,Premier League
Islam Slimani,Olympique Lyon,33,attack,Algeria,2700000,1,Ligue 1
Iñaki Peña,FC Barcelona,22,Goalkeeper,Spain,2700000,2,La Liga
Salif Sané,FC Schalke 04,31,Defender,Senegal,2700000,1,Bundesliga
Robin Hack,Arminia Bielefeld,23,attack,Germany,2700000,4,Bundesliga
Robert Navarro,Real Sociedad,19,midfield,Spain,2700000,1,La Liga
Andriy Lunin,Real Madrid,22,Goalkeeper,Ukraine,2700000,3,La Liga
Jean-Victor Makengo,Udinese Calcio,23,midfield,France,2700000,4,Serie A
Karim Rekik,Sevilla FC,26,Defender,Netherlands,2700000,4,La Liga
Jarrad Branthwaite,Everton FC,19,Defender,England,2700000,1,Premier League
Lazar Samardzic,Udinese Calcio,19,midfield,Germany,2700000,5,Serie A
Janis Antiste,Spezia Calcio,19,attack,France,2700000,5,Serie A
Lucas Pérez,Elche CF,32,attack,Spain,2700000,1,La Liga
Carlos Clerc,Levante UD,29,Defender,Spain,2700000,1,La Liga
Paulo Gazzaniga,Fulham FC,29,Goalkeeper,Argentina,2700000,2,Premier League
Kévin Gameiro,RC Strasbourg Alsace,34,attack,France,2700000,2,Ligue 1
Simone Bastoni,Spezia Calcio,24,Defender,Italy,2700000,4,Serie A
Matt Clarke,West Bromwich Albion,24,Defender,England,2700000,1,Premier League
Tolgay Arslan,Udinese Calcio,31,midfield,Germany,2700000,1,Serie A
Jesús Navas,Sevilla FC,35,Defender,Spain,2700000,3,La Liga
Jonathan Gradit,RC Lens,28,Defender,France,2700000,3,Ligue 1
Dara O'Shea,West Bromwich Albion,22,Defender,Ireland,2700000,2,Premier League
Alberto Soro,Granada CF,22,attack,Spain,2700000,4,La Liga
Yan Valery,Southampton FC,22,Defender,France,2700000,2,Premier League
Ansgar Knauff,Borussia Dortmund,19,attack,Germany,2700000,2,Bundesliga
Diogo Queirós,Real Valladolid CF,22,Defender,Portugal,2700000,1,La Liga
Albin Ekdal,UC Sampdoria,32,midfield,Sweden,2700000,1,Serie A
Léo Jardim,LOSC Lille,26,Goalkeeper,Brazil,2700000,3,Ligue 1
Fali,Cádiz CF,28,Defender,Spain,2700000,3,La Liga
Armando Broja,Southampton FC,19,attack,Albania,2700000,1,Premier League
Moreto Cassamá,Stade Reims,23,midfield,Guinea-Bissau,2700000,3,Ligue 1
Kike Barja,CA Osasuna,24,attack,Spain,2700000,2,La Liga
Adrien Silva,UC Sampdoria,32,midfield,Portugal,2700000,1,Serie A
Simone Zaza,Torino FC,30,attack,Italy,2700000,2,Serie A
Andrea Consigli,US Sassuolo,34,Goalkeeper,Italy,2700000,1,Serie A
Amadou Onana,LOSC Lille,20,midfield,Belgium,2700000,5,Ligue 1
Aridane Hernández,CA Osasuna,32,Defender,Spain,2700000,2,La Liga
Nicolas de Préville,FC Metz,30,attack,France,2700000,3,Ligue 1
Papa Ndiaga Yade,FC Metz,21,attack,Senegal,2700000,3,Ligue 1
Radu Dragusin,UC Sampdoria,19,Defender,Romania,2700000,1,Serie A
Brendan Chardonnet,Stade Brestois 29,26,Defender,France,2700000,2,Ligue 1
Anthony Knockaert,Fulham FC,29,attack,France,2700000,2,Premier League
Rodrigo Muniz,Fulham FC,20,attack,Brazil,2700000,5,Premier League
Javier Manquillo,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,Defender,Spain,2700000,3,UNKNOWN
Lucas Da Cunha,OGC Nice,20,attack,France,2700000,fail,Ligue 1
Julian Chabot,UC Sampdoria,23,Defender,Germany,2700000,3,Serie A
Robin Olsen,Sheffield United,31,Goalkeeper,Sweden,2700000,1,Premier League
Lamine Gueye,FC Metz,23,attack,Senegal,2700000,3,Ligue 1
Matej Vydra,Burnley FC,29,attack,Czech Republic,2700000,1,Premier League
Faouzi Ghoulam,SSC Napoli,30,Defender,Algeria,2700000,1,Serie A
Nathaniel Clyne,Crystal Palace,30,Defender,England,2700000,1,Premier League
Jóhann Berg Gudmundsson,Burnley FC,30,attack,Iceland,2700000,2,Premier League
Fede San Emeterio,Real Valladolid CF,24,midfield,Spain,2700000,2,La Liga
Fraser Forster,Southampton FC,33,Goalkeeper,England,2700000,1,Premier League
Marco Sala,FC Crotone,22,midfield,Italy,2700000,1,Serie A
Niclas Eliasson,Nîmes Olympique,25,midfield,Sweden,2700000,2,Ligue 1
Filippo Romagna,US Sassuolo,24,Defender,Italy,2700000,fail,Serie A
Federico Fernández,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",32,Defender,Argentina,2700000,2,UNKNOWN
Timo Baumgartl,1.FC Union Berlin,25,Defender,Germany,2700000,1,Bundesliga
Martín Aguirregabiria,Deportivo Alavés,25,Defender,Spain,2700000,1,La Liga
Ciaran Clark,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",31,Defender,Ireland,2700000,2,UNKNOWN
Reece Oxford,FC Augsburg,22,Defender,England,2700000,2,Bundesliga
Michael Gregoritsch,FC Augsburg,27,attack,Austria,2700000,2,Bundesliga
Vicente Iborra,Villarreal CF,33,midfield,Spain,2700000,3,La Liga
Wahid Faghir,VfB Stuttgart,18,attack,Denmark,2700000,5,Bundesliga
Matt Miazga,Deportivo Alavés,26,Defender,United States,2700000,1,La Liga
Robert Gumny,FC Augsburg,23,Defender,Poland,2700000,4,Bundesliga
Dani García,Athletic Bilbao,31,midfield,Spain,2700000,1,La Liga
Iván Marcone,Elche CF,31,midfield,Argentina,2700000,2,La Liga
Mattia Bani,Genoa CFC,27,Defender,Italy,2700000,fail,Serie A
Jae-sung Lee,1.FSV Mainz 05,29,midfield,"Korea, South",2700000,3,Bundesliga
Karl Darlow,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",30,Goalkeeper,England,2700000,4,UNKNOWN
Ben Johnson,West Ham United,21,Defender,England,2700000,1,Premier League
Thiago Silva,Chelsea FC,36,Defender,Brazil,2700000,1,Premier League
Peru Nolaskoain,Athletic Bilbao,22,midfield,Spain,2700000,3,La Liga
Yvann Maçon,AS Saint-Étienne,22,Defender,France,2700000,4,Ligue 1
Nils Petersen,SC Freiburg,32,attack,Germany,2700000,1,Bundesliga
James Milner,Liverpool FC,35,midfield,England,2700000,1,Premier League
Keinan Davis,Aston Villa,23,attack,England,2700000,3,Premier League
Woo-yeong Jeong,SC Freiburg,21,attack,"Korea, South",2700000,2,Bundesliga
Jonathan Schmid,SC Freiburg,31,Defender,France,2700000,fail,Bundesliga
Craig Dawson,West Ham United,31,Defender,England,2700000,2,Premier League
Arnaud Souquet,Montpellier HSC,29,Defender,France,2700000,2,Ligue 1
Juan Brunetta,Parma Calcio 1913,24,midfield,Argentina,2700000,1,Serie A
Dejan Ljubicic,1. FC Köln,23,midfield,Austria,2700000,4,Bundesliga
Matt Ritchie,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",31,Defender,Scotland,2700000,2,UNKNOWN
Jannes Horn,1. FC Köln,24,Defender,Germany,2700000,1,Bundesliga
Valère Germain,Montpellier HSC,31,attack,France,2700000,3,Ligue 1
Luis Rioja,Deportivo Alavés,27,attack,Spain,2700000,2,La Liga
Kevin Möhwald,1.FC Union Berlin,28,midfield,Germany,2700000,fail,Bundesliga
Jean Manuel Mbom,SV Werder Bremen,21,midfield,Germany,2700000,2,Bundesliga
Paul Dummett,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,Defender,Wales,2700000,1,UNKNOWN
Sheraldo Becker,1.FC Union Berlin,26,attack,Suriname,2700000,2,Bundesliga
Lorenzo Venuti,ACF Fiorentina,26,Defender,Italy,2700000,3,Serie A
Mark Uth,1. FC Köln,30,attack,Germany,2700000,2,Bundesliga
Mitchell Weiser,SV Werder Bremen,27,Defender,Germany,2700000,1,Bundesliga
Kjell Scherpen,Brighton &amp; Hove Albion,21,Goalkeeper,Netherlands,2520000,fail,Premier League
Ishak Belfodil,Hertha BSC,29,attack,Algeria,2520000,fail,Bundesliga
Benoît Costil,FC Girondins Bordeaux,34,Goalkeeper,France,2520000,1,Ligue 1
Cédric Brunner,Arminia Bielefeld,27,Defender,Switzerland,2520000,1,Bundesliga
Filip Benkovic,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",24,Defender,Croatia,2520000,2,UNKNOWN
Rubén Rochina,Granada CF,30,attack,Spain,2520000,2,La Liga
Mert Cetin,Hellas Verona,24,Defender,Turkey,2520000,1,Serie A
Jony,SS Lazio,30,attack,Spain,2520000,2,Serie A
Kike,CA Osasuna,31,attack,Spain,2520000,3,La Liga
Kevin Stöger,1.FSV Mainz 05,28,midfield,Austria,2520000,1,Bundesliga
Adam Reach,West Bromwich Albion,28,midfield,England,2520000,3,Premier League
Óscar Plano,Real Valladolid CF,30,attack,Spain,2520000,2,La Liga
Burak Yilmaz,LOSC Lille,36,attack,Turkey,2520000,1,Ligue 1
Joaquín Fernández,Real Valladolid CF,25,Defender,Spain,2520000,2,La Liga
Javi Sánchez,Real Valladolid CF,24,Defender,Spain,2520000,3,La Liga
Marcus Coco,FC Nantes,25,attack,France,2520000,2,Ligue 1
Davie Selke,Hertha BSC,26,attack,Germany,2520000,2,Bundesliga
Anton Stach,1.FSV Mainz 05,22,midfield,Germany,2250000,3,Bundesliga
Joel Pohjanpalo,Bayer 04 Leverkusen,26,attack,Finland,2250000,1,Bundesliga
Roger Assalé,SV Werder Bremen,27,attack,Cote d'Ivoire,2250000,1,Bundesliga
Matthew Lowton,Burnley FC,32,Defender,England,2250000,2,Premier League
Felix Agu,SV Werder Bremen,21,Defender,Germany,2250000,3,Bundesliga
Franco Tongya,Olympique Marseille,19,midfield,Italy,2250000,4,Ligue 1
Raúl García,Athletic Bilbao,35,attack,Spain,2250000,1,La Liga
Sergio Escudero,Granada CF,32,Defender,Spain,2250000,1,La Liga
Anthony Briancon,Nîmes Olympique,26,Defender,France,2250000,1,Ligue 1
Jamie Shackleton,Leeds United,21,midfield,England,2250000,3,Premier League
Jere Uronen,Stade Brestois 29,27,Defender,Finland,2250000,3,Ligue 1
Maxime Gonalons,Granada CF,32,midfield,France,2250000,2,La Liga
Erick Cabaco,Getafe CF,26,Defender,Uruguay,2250000,3,La Liga
Danilo Cataldi,SS Lazio,27,midfield,Italy,2250000,3,Serie A
Ömer Toprak,SV Werder Bremen,32,Defender,Turkey,2250000,2,Bundesliga
André Hahn,FC Augsburg,31,attack,Germany,2250000,1,Bundesliga
Raúl Albiol,Villarreal CF,35,Defender,Spain,2250000,1,La Liga
Andi Zeqiri,FC Augsburg,22,attack,Switzerland,2250000,1,Bundesliga
Angelo Stiller,TSG 1899 Hoffenheim,20,midfield,Germany,2250000,4,Bundesliga
Mamadou Loum,Deportivo Alavés,24,midfield,Senegal,2250000,1,La Liga
Rick van Drongelen,1.FC Union Berlin,22,Defender,Netherlands,2250000,fail,Bundesliga
Pepelu,Levante UD,23,midfield,Spain,2250000,1,La Liga
Melayro Bogarde,TSG 1899 Hoffenheim,19,Defender,Netherlands,2250000,3,Bundesliga
Samir Handanovic,Inter Milan,37,Goalkeeper,Slovenia,2250000,1,Serie A
Toni Lato,Valencia CF,23,Defender,Spain,2250000,2,La Liga
